English,Japanese
clinicopathologic(al),a〉臨床病理学の
clinicopathology,臨床病理学
clinodactyly,彎曲指症
clinodactylia,彎曲指症
clinodactylism,彎曲指症
clinometer,傾斜計
clinotherapy,絶対安静、臥床安静療法
clitoral,a〉陰核の
clitoridean,a〉陰核の
clitoralgia,陰核痛
clitorectomy,陰核切除(術)
clitoridectomy,陰核切除(術)
clitoriditis,陰核炎
clitoridotomy,陰核切開(術)
clitoris,《解》陰核 [L]
clitorism,1_陰核肥大 2_持続性陰核勃起
clitoriplasty,陰核形成(術)
clitoritis,陰核炎
clitorotomy,陰核切開(術)
clitorrahagia,陰核出血
clivus,《解》斜台
clonal,a〉クローンの、栄養系の
clonic,a〉間代(性)の
clonicotonic,a〉間代緊張性の
closure,閉鎖
clot,血餅
clotting,a〉凝血の
clouding,混濁
cloudy,a〉混濁の
club like,棍棒状
clubbing,棍棒状肥大
coactivation,共活性化
coagulable,a〉凝固性の
coagulation,凝固
coagulative,a〉凝固(性)の
coagulopathy,血液凝固障害、凝固障害
coarctation,縮窄、狭窄、絞窄、絞扼 絞扼=こうやく
coating,1_コーティング、被膜形成 2_被膜剤、被膜物質 3_剤皮
coaxial,a〉同軸の
cobalt,<[元素]>コバルト
cobblestone,丸石、玉石、くり石
coccoid,a〉球状の
coccus,球菌
coccygeal,a〉尾骨の
cochlea,《解》蝸牛 [L]
cochlear,《解》蝸牛の
cochleopalpebral,a〉蝸牛眼瞼の
cochleotoxic,a〉蝸牛毒性の
cochleovestibular,a〉蝸牛前庭の
coding,<[数]>符号づけ
codocyte,帽子状赤血球
codon,コドン
coefficient,係数
coeliac,a〉腹腔の
coelomate,a〉体腔のある n〉体腔動物
coelomic,a〉体腔の
coenzyme,補酵素
coexpression,共発現
cognition,認知
cognitive,a〉認識の、認知の
cohesive,a〉粘着(性)の
cohort,コホート
coil,螺旋 らせん 、コイル
coital,a〉性交の
cold,a〉寒性の、寒冷の
cold insoluble,a〉寒冷不溶性の
colic,仙痛=疝痛=
colicystitis,大腸菌性膀胱炎
colicystopyelitis,大腸菌性膀胱腎盂炎
coliemia,大腸菌血症
colitis,結腸炎、大腸炎
collagen,コラーゲン
collagen coated,a〉コラーゲン被覆の
collagenase,コラゲナーゼ、コラーゲン分解酵素
collagenization,コラーゲン化、膠原化
collagenolysis,コラーゲン分解
collagenous,a〉コラーゲン(性)の、膠原(性)の
collapse,1_虚脱(状態) 2_圧潰
collapsotherapy,肺虚脱療法
collateral,a〉傍側の、副〜
collectomania,収集癖
collectionism,収集癖
colliculectomy,精丘切除(術)
colliculitis,精丘炎
colliculus,《解》小丘
colliquative,a〉融解の、液化する
collision,衝突
colloid,コロイド、膠質
colloidal,a〉膠質の
collum,《解》頚
coloboma,欠損、欠裂、コロボーム
colocentesis,結腸穿刺(術)
coloclysis,浣腸
colofixation,結腸固定術
colon,結腸
colonalgia,結腸痛
colonectomy,結腸切除(術)
colonic,a〉結腸の、結腸洗浄の
colonocyte,大腸上皮細胞
colonopathy,結腸疾患
colonorrhea,粘液性結腸炎
colonoscope,結腸内視鏡、大腸内視鏡
colonoscopic,結腸内視鏡、大腸内視鏡
colonoscopical,a〉結腸内視鏡の、大腸内視鏡の
colonoscopic,a〉結腸内視鏡の、大腸内視鏡の
colonoscopy,結腸内視術、結腸内視鏡検査
colony,集落、コロニー
colony forming,a〉コロニー形成の
coloproctectomy,結腸直腸切除(術)
coloproctitis,結腸直腸炎
coloproctostomy,結腸直腸吻合(術)
colopuncture,結腸穿刺術
color,色、色彩
color blind,a〉色盲の
color blindness,色盲
colorant,着色剤
coloration,着色
colorectal,a〉結腸直腸の
colorectostomy,結腸直腸吻合(術)
colorfast,a〉変色しない
colorful,a〉多彩な
colorimeter,比色計
colorimetric,a〉比色分析(法)の
colorimetry,1_比色分析(法) 2_《理化》比色定量
colorless,a〉無色の
colostomy,人工肛門形成(術)
colovaginal,a〉結腸膣の
colovesical,a〉結腸膀胱の
colpalgia,膣痛
colpatresia,膣閉鎖(症)、鎖膣
colpitis,膣炎
colpocele,膣ヘルニア
colpocleisis,膣閉鎖術
colpocystitis,膣膀胱炎
colpokeratosis,膣粘膜角化症
colpopathy,膣疾患
colpopoiesis,造膣(術)
colporrhagia,膣出血
colposcope,膣鏡
colposcopic,a〉膣鏡(検査)の
colposcopy,膣鏡検査(法)、コルポスコピー
colpospasm,膣痙攣
colpostenosis,膣狭窄(症)
colpotomy,膣切開(術)
column,a〉円柱状の
columnar,a〉円柱状の
coma,昏睡
comatous,a〉昏睡の
combination,1_併用 2_《理化》連結
combustibility,燃焼性、可燃性、燃焼力
combustible,a〉燃えやすい、可燃性の
combustion,燃焼
comigration,共遊走
comitance,《眼》共同運動
commensalism,偏共生
comminuted,a〉粉砕された
commissural,a〉交連の、連合の
committee,委員会
common,a〉1_共通の、共同の、共有の 2_公衆の、公共の 3_普通の、常用の
communicable,a〉感染性の、伝染性の
community,地域
comorbid,a〉共存症の
compact,a〉緻密の
comparative,a〉比較による、比較的な
comparison,比較
compensation,補償、代償
compensatory,a〉補償の、代償(性)の
competitive,a〉競合の、競合的な
complaint,訴え、愁訴
complement,補体
complement dependent,a〉補体依存性(性)の
complementary,a〉相補の、相補的な
complementation,相補性、補足性
complete,a〉完全(性)の、全部の
complex,a〉複合の、複雑な n〉1_複合体 2_《理化》錯体
complexion,顔色、顔貌
complexity,複雑であること
complication,合併症、併発症
component,成分、構成成分、構成要素
comportment,行動、態度
composite,a〉複合の、コンポジットの
composition,構成、組成
composure,沈着、冷静
compound,化合物
compression,1_圧縮、圧搾 2_圧迫(症)
compressional,a〉圧縮の
compressive,a〉圧縮の
compromised,a〉免疫不全の
compulsive,a〉強迫性の
concentration,1_集中 2_濃度
concentric,a〉1_同心の、同心円状の、同軸の 2_集中的な
concept,1_概念 2_視点、コンセプト
conception,1_受胎、妊娠 2_概念
concha,甲介
conchal,a〉甲介の
conchiform,a〉甲介状の
conchitis,甲介炎
conchotomy,鼻甲介切除(術)
concise,a〉簡潔な、簡明な
concision,1_切断 2_簡潔
conclusion,結論
concrescent,a〉癒着の<歯の>
concretion,1_結石(形成) 2_癒着
concurrent,a〉併用の n〉<[数]>共点
condensation,縮合、凝縮
condensing,a〉濃縮の
condition,条件
conditional,a〉条件の
conditioned,a〉条件の
conductible,a〉伝導性の
conduction,伝導
conductive,a〉伝導(性)の、伝音の
conductivity,伝導性、伝導度、伝導力、伝導率
conductor,導体
condylar,a〉1_顆の、顆状の 2_《歯》下顎頭の
condyle,《解》顆、顆頭、顆状突起
condylectomy,関節顆切除(術)
condyloid,a〉顆の、顆頭の、顆状の
condyloma,コンジローム
condylomatous,a〉コンジローム様の
condylotomy,顆状突起切離(術)
condylus,《解》顆、顆突起、顆状突起
confidentiality,守秘、秘密、機密
confluent,a〉融合性の
confocal,a〉共焦点の
confounder,交絡因子
confusion,1_混乱、精神錯乱、意識不鮮明 2_混同、困惑
congelation,1_凍結、凝固 2_凍結物、凝固物 3_凍傷*
congenial,a〉同性質の
congeniality,同性質
congenital,a〉先天性の
congestion,鬱血、うっ血
congestive,a〉うっ血(性)の
conglobate,a〉球状の、球形の
congress,議会 学術大会
congruence,一致、適合(性)、適応性 <
congruity,一致、適合、調和
conical,a〉円錐の、円錐形の
conid,円錐小体
coniosis,塵埃症 塵肺(症)*
conjoint,a〉結合した、共同の 連帯の
conjugate,複合体、コンジュゲート
conjugated,a〉抱合の
conjunctiva,《解》結膜
conjunctival,a〉結膜の
conjunctivitis,結膜炎
conjunctivoplasty,結膜形成(術)
connection,1_連結、連結物、連結点、連絡 2_関係、関連 3_《解》結合
connectionism,結合説
connective,a〉結合(性)の
conoid,a〉円錐の
consanguine,a〉血縁の
consanguineous,a〉血のつながりの、血縁の、血族の、同族の
consciousness,意識
consistency,軟度
consonant,<[文法]>子音
constancy,定常性、恒常性
constant,定数
constipation,便秘
constituent,成分
constriction,収縮
constrictor,収縮筋、括約筋
construction,《歯》築造
consumer,消費者
consumption,1_消費 2_肺癆
contact,接触
contagion,接触伝染
contagiosity,接触伝染性、伝播性
contagious,a〉接触伝染の
contamination,汚染
context,<[言語]>文脈
context free,a〉文脈自由の
contextualization,〔言語〕文脈づけ
continuous,a〉持続の、連続の
contraceptive,a〉避妊の
contractile,a〉収縮性の
contraction,収縮
contracture,拘縮
contraindication,禁忌
contralateral,a〉対側(性)の、反対側(性)の
contrast,1_対照、対比、コントラスト 2_対置物
control,制御、コントロール
controversial,a〉論争上の、議論の余地のある
controversy,論争、議論、問題点
contusion,挫傷、打撲傷
convection,1_伝達、伝導 2_対流
convective,a〉伝達性の、伝導性の
conventional,a〉通法の
convergence,収束
convergent,a〉収束(性)の
conversion,転換、変換、転化
convertible,a〉変換できる、変換可能な
convolution,1_旋回 2_脳回
convulsant,a〉痙攣(性)の n〉痙攣薬
convulsion,痙攣
convulsive,a〉痙攣(性)の
coordination,協調[運動]; 調整[作用]; 協同[作用]
copolymer,共重合体、コポリマー
copper,<[元素]>銅
coproantibody,糞便抗体
coprophagic,a〉食糞(性)の、糞食(性)の
coprophagous,a〉食糞(性)の、糞食(性)の
copulation,1_交尾、交接 2_交合??
copulatory,a〉交合の
copurification,共精製
cor,《解》心臓
coracoacromial,a〉烏口肩峰の
coracobrachial,a〉烏口腕の
coracoclavicular,a〉烏口鎖骨の
coracohumeral,a〉烏口上腕の
coracoid,a〉烏口の
cordate,a〉心臓形の
cordiform,a〉心臓形の
cornea,角膜
corneal,a〉角膜の
corneocyte,〔組織〕角質細胞
corneoscleral,a〉角膜強膜の
corner,角、隅、コーナー
corneum,角質層の [L]
corniculate,a〉小角の
cornual,a〉角の
cornus,1_角 2_角状突起
coronal,a〉1_冠状の 2_《歯》歯冠の
coronarism,冠不全(症)
coronary,a〉1_冠状の、冠性の 2_《歯》冠側の
coronoid,a〉烏口の
corpus,《解》体
corpuscle,小体
corpuscular,a〉1_小体の、血球の 2_粒子の
correction,1_矯正 2_補正、修正
correlation,相関
correlative,a〉相関的な n〉相関物
corroborant,強壮薬
corrosion,腐食、腐食状態
corrosive,a〉腐食性の
corrugator,皺筋
cortex,皮質 [L]
cortical,a〉皮質(性)の
corticocancellous,a〉皮質海綿骨の
corticosteroid,コルチコステロイド
corticotropin,副腎皮質刺激ホルモン
cosmetic,a〉1_化粧の、化粧用の 2_美容整形の
cosmetology,化粧学、化粧法
cosmic,a〉宇宙の
cosmochemistry,《理化》宇宙化学
cosmology,宇宙学、宇宙論
cosmonaut,宇宙飛行士
costa,肋骨 [L]
costal,a〉肋骨の
costalgia,肋骨痛
costectomy,肋骨切除(術)
costicervical,a〉肋頚の
costimulation,共刺激
costoabdominal,a〉肋骨腹壁の
costocervical,a〉肋頚の
costochondral,a〉肋軟骨の
costochondritis,肋軟骨炎
costoclavicular,a〉肋鎖骨の
costodiaphragmatic,a〉肋骨横隔の
costomediastinal,a〉肋骨縦隔の
costopectoral,a〉肋骨胸筋の
costophrenic,a〉肋骨横隔膜の
costopleural,a〉肋骨胸膜の
costoscapular,a.肋肩甲骨の
costosternal,a〉肋胸骨の
costotome,肋骨刀
costoxiphoid,a〉肋剣状突起の
cotransduction,同時形質導入
cough,咳 せき
count,計数、算定
counterstain,対比染色
counting,計算、集計
couplet,二連発
course,経過
covalent,a〉共有結合の
covariance,共分散
coxal,a〉寛骨部の、股関節の
coxalgia,1_股関節痛 2_股関節疾患
coxalgic,a〉1_股関節痛の 2_股関節疾患の
coxarthritis,股関節炎
coxarthropathy,股関節疾患
coxitis,股関節炎
coxodynia,股関節痛
coxofemoral,a〉股大腿の
coxotuberculosis,股関節結核(症)
cramp,痙攣
cranial,a〉頭蓋の、頭蓋骨の、頭側の
craniectomy,頭蓋骨切除(術)
craniobasal,a〉頭蓋基底の
craniocaudal,a〉頭尾の
craniocerebral,a〉頭蓋脳の、頭蓋大脳の
craniocervical,a〉頭蓋頚部の
craniocervicomandibular,a〉頭蓋頚部下顎の
cranioclasis,砕頭術
cranioclasty,砕頭術
craniodidymus,二頭体
craniofacial,a〉頭蓋顔面の
craniology,頭蓋学
craniomalacia,頭蓋骨軟化(症)
craniomandibular,a〉頭蓋下顎の
craniometer,頭蓋計測器、頭蓋測定器
craniometric,a〉頭蓋計測の
craniometry,頭蓋計測法
craniopagus,頭蓋結合体
craniopathy,頭蓋疾患、頭蓋障害
craniopharyngeal,a〉頭蓋咽頭の
craniopharyngioma,頭蓋咽頭腫、頭蓋咽頭管腫瘍
cranioplasty,頭蓋形成(術)
craniopuncture,頭蓋穿刺
craniosacral,a〉頭蓋仙骨の
cranioschisis,頭蓋[披]裂、二分頭蓋
craniosclerosis,頭蓋骨硬化症
craniospinal,a〉頭蓋脊柱の
craniostenosis,狭頭(症)
craniostosis,頭蓋縫合早期骨化(症)
craniosynostosis,頭蓋骨縫合早期癒合(症)、頭蓋骨癒合(症)、狭頭(症)
craniotome,開頭器、穿頭器
craniotomy,開頭術
craniotopography,頭蓋局所解剖学
craniotrypesis,開頭(術)、穿頭(術)
craniovertebral,a〉頭蓋脊椎の
cranium,《解》頭蓋、頭蓋骨
crank,クランク、Ｌ字型ハンドル
crease,皮線
creatinine,クレアチニン
creeping,四つ這い
cremasteric,a〉精巣挙筋の、挙睾筋の
crenation,コンペイトウ状化
crepitation,捻髪音
crescent,半月
crest,《解》稜 りょう
crestal,a〉稜の りょう
cretinism,クレチン病
crevicular,a〉歯肉溝の
cribriform,a〉篩状の
crico arytenoid,a〉輪状披裂筋の n〉輪状披裂筋
cricopharyngeal,a〉輪状咽頭の
cricoid,a〉輪状の、環状の
cricoidectomy,輪状軟骨切除(術)
cricopharyngeal,a〉輪状咽頭の
cricothyroid,a〉輪状甲状の n〉《解》輪状甲状筋
cricothyroideus,《解》輪状甲状筋
cricotracheal,a〉輪状気管の
crime,犯罪
criminal,a〉犯罪の n〉犯罪者
crisis,発症
crista,《解》稜
critical,a〉1_危篤の 2_臨界の
cross,交差=交叉
cross arm,a〉腕交差の
cross covariance,相互共分散
cross immunity,交差免疫
cross immunization,交差免疫化
cross journal,a〉雑誌間の、ジャーナル間の
cross leg,a〉脚交差の
cross legged,a〉交叉脚の、Ｘ脚の
cross section,a〉断面の
cross sectional,a〉横断的な、断面の
crossbreeding,雑種形成、交雑
croup,喉頭炎
crown,《歯》歯冠 鋳造冠
cruciate,a〉十字状の
crucible,坩堝 るつぼ
crural,a〉脚の、下腿の、すねの
crus,《解》脚
crust,痂、痂皮 痂=かさぶた痂皮=かひ
cryoanalgesia,寒冷鎮痛
cryoanesthesia,冷凍麻酔(法)
cryobiology,低温生物学
cryocautery,低温焼灼法
cryogenics,冷凍学
cryoglobulin,寒冷グロブリン
cryoglobulinemia,寒冷グロブリン血症
cryometer,低温計
cryopathy,寒冷症
cryopexy,冷凍固定(法)
cryoscope,氷点計
cryosection,凍結切片
cryosurgery,凍結外科、冷凍外科
cryotherapy,低温療法、凍結療法
cryptococcal,a〉クリプトコクス症の
cryptococcosis,クリプトコッカス症
cryptococcus,クリプトコッカス菌
cryptogenetic,a〉原因不明の、特発性の
cryptogenic,a〉原因不明の、特発性の
cryptogram,暗号文
cryptography,暗号術
cryptolith,1_皮膚結石 2_粉瘤結石 3_(扁桃腺の)窩内結石、窩石
cryptorchidectomy,潜伏精巣摘出(術)
cryptorchidism,停留精巣、停留睾丸
cryptosporidium,クリプトスポリジウム
cryptosporidiosis,クリプトスポリジウム症
cryptotoxic,a〉潜伏毒性の、潜在毒の
crystal,結晶
crystalline,a〉結晶の
crystallization,《理化》晶出
crystallizer,《理化》結晶器
crystallogram,結晶図、クリスタログラム
crystallography,結晶学
crystalloid,晶質
cub,幼獣
cubital,a〉肘の ひじ
cuboidal,a〉立方状の
culture,培養
cumulant,<[数]>累積率
cuneiform,a〉楔状の n〉《解》楔軟骨
cuneocuboid,a〉楔立方の
cuneus,楔部 [L]楔=けつ
cupric,a〉第二銅の
cuprous,a〉第一銅の
cupula,《解》頂 [L]
curable,a〉治せる、治療できる
curative,a〉治癒できる n〉治療薬、薬剤
cure,1_治癒、全快、完治 2_治療(法)、医療
curettage,掻爬
curette,鋭匙、掻爬器、キューレット
curium,<[元素]>キュリウム
current,電流
curvatura,《解》彎
curvature,1_彎、彎曲 2_《理化》曲率
cusp,《歯》咬頭
cuspid,《歯》犬歯
cuspless,a〉《歯》無咬頭の
cutaneous,a〉皮膚の
cuticle,小皮
cyanocobalamin,シアノコバラミン
cyanosis,チアノーゼ
cyanotic,a〉チアノーゼの
cycle,1_周期 2_回路
cyclic,a〉周期(性)の、周期的な、循環期の 《理化》環状の、環式の
cycloplegic,a〉毛様体筋麻痺の
cylindoid,1_類円柱<尿沈渣の> 2_類円柱体
cylindroma,円柱腫
cymba,《解》舟
cynodont,犬歯
cyst,嚢胞、嚢腫
cystadenocarcinoma,嚢胞腺癌
cystadenofibroma,嚢胞性線維腺腫
cystadenolymphoma,嚢腺リンパ腫
cystadenoma,嚢胞腺腫、嚢腺腫
cystalgia,膀胱痛
cystatrophia,膀胱萎縮
cystectasia,膀胱拡張(術)
cystectomy,膀胱切除(術)
cystic,a〉胆嚢の 嚢胞(性)の
cysticoduodenal,a〉胆嚢十二指腸の
cystitis,膀胱炎
cystocele,膀胱瘤
cystodynia,膀胱痛
cystoenterostomy,胆嚢小腸吻合(術)
cystogram,膀胱撮影図、膀胱造影図
cystography,膀胱撮影(法)、膀胱造影(法)
cystolith,膀胱結石
cystolithiasis,膀胱結石症
cystolithic,a〉膀胱結石の
cystotome,嚢切開刀
cystoma,嚢腫
cystomatits,嚢腫炎
cystometer,膀胱内圧計
cystomyxoma,粘液嚢腫
cystoneuralgia,膀胱神経痛
cystoparalysis,膀胱麻痺
cystopexy,膀胱固定(術)
cystoplegia,膀胱麻痺
cystoptosis,膀胱下垂(症)
cystopyelitis,膀胱腎盂炎
cystosarcoma,嚢胞肉腫
cystoschisis,膀胱裂
cystoscope,膀胱鏡
cystoscopy,膀胱鏡検査(法)
cystotomy,膀胱切開(術) 胆嚢切開(術)
cytochemical,a〉細胞化学の、細胞化学的な
cytochemistry,細胞化学
cytokeratin,サイトケラチン
cytological,a〉細胞学の、細胞学的な
cytologist,細胞学者
cytology,細胞学
cytolysis,細胞融解
cytolytic,a〉細胞融解の
cytomegalic,a〉巨大細胞性の
cytomegalovirus,サイトメガロウイルス
cytometric,a〉血球計算の、サイトメトリーの
cytometry,サイトメトリー
cytomorphosis,細胞変態
cytomusculature,細胞筋系
cytopathogenic,a〉細胞変性の
cytopathology,細胞病理学
cytopathy,細胞変性
cytophagous,a〉細胞食作用の
cytophagy,細胞食作用
cytopigment,細胞色素
cytoplasm,細胞質
cytoplasmic,a〉細胞質の
cytoreduction,細胞減少(法)
cytoscopic,a〉細胞検査(法)の
cytoscopy,細胞検査(法)
cytoskeletal,a〉細胞骨格の
cytoskeleton,細胞骨格
cytosolic,a〉細胞質ゾルの
cytostatic,a〉細胞増殖抑制(性)の
cytotaxis,細胞走性
cytotechnologist,細胞検査技師
cytotechnology,細胞検査
cytothesis,細胞整復、細胞復位
cytotonic,a〉細胞緊張性の
cytotoxic,a〉細胞傷害の、細胞毒性の
cytotoxicity,細胞毒性
cytotropic,a〉細胞向性の、細胞親和性の
dacryadenalgia,涙腺痛
dacryadenitis,涙腺炎
dacryocystalgia,涙嚢痛
dacryocystitis,涙嚢炎
dacryocystocele,涙嚢ヘルニア
dacryopyosis,涙管化膿(症)
dacryolith,涙結石、涙石
dacryolithiasis,涙結石症、涙石症
dactylalgia,指痛
dactyledema,指浮腫
dactylitis,指炎
dactylodynia,指痛
dactylogram,指紋
dactylography,指紋学
dactylology,指話法
dactylolysis,合指分離(術)、指趾欠損
dactylomegaly,巨指(症)
dactylophasia,指話(術)
dactyloscopy,指紋検査(法)、指紋同定(法)、指紋分類(法)
dactylosymphysis,合指(症)、指癒合(症)
dam,ダム
damage,1_損傷 2_損害 3_[pl] 弁償金
dating,年代測定
dead,a〉死の、死亡の
death,1_死、死亡 2_死者、死亡者
debridement,壊死組織切除(法)、創傷清拭
debromination,脱臭素
decalcification,脱灰
decantation,傾斜
decarboxylase,脱炭酸酵素
decarboxylation,脱炭酸
decay,壊変
decementation,脱セメンテーション
decerebrate,a〉除脳の
decerebration,除脳
dechlorination,脱塩素
decidophobia,決断恐怖(症)
decidua,脱落膜
deciliter,デシリットル
decimal,小数
decline,減少、減退、低下
decomposition,分解
decompression,減圧
decompressive,a〉減圧の
decremental,a〉減衰の
decubitus,褥創
decussation,交叉
dedifferentiation,脱分化
defatting,除脂術
defecation,排便
defect,欠陥、欠損
defective,a〉欠陥･欠損の、精神的に･肉体的に正常値に満たない
defense,防衛
deferent,a〉輸送の、排泄の、輸精管の
deferential,a〉精管の
defibrillation,除細動
deficiency,不足、欠乏(症)
deficient,a〉不足した、欠乏(性)の 不完全な、欠陥のある
definition,定義
deformans,変形(性)の [Ｌ属格]
deformation,変形
deformed,a〉奇形の
deforming,a〉変形性の
deformity,1_奇形 2_《歯》変形症
degeneration,1_変性 2_《理化》退化
degenerative,a〉変性の
deglutition,嚥下
degradation,1_分解、破壊 2_退化
degranulation,脱顆粒
degree,1_度 2_度合い、程度 3_学位
dehiscence,離開、裂開
dehydrate,脱水物
dehydration,1_脱水 2_脱水症
dehydrogenase,脱水素酵素
dejection,1_排泄、便通 2_排泄物
dejecture,糞、排泄物
delayed,a〉遅延の、遅効性の
deleterious,a〉(心身に)有害な
deletion,1_欠失、欠損 2_除去、削除
delirium,譫妄  せんもう
delivery,1_配達 2_出産
deltoid,《解》三角筋
delusion,妄想
dementia,痴呆
demilune,半月、半月体
demineralization,脱鉱質、脱灰、無機質脱落
demodectic,a〉毛嚢虫の、毛嚢虫による
demographic,a〉人口統計学の、人口統計学的な
demography,人口統計学、人口学
demonstration,1_証明 2_展示 3_(感情の)表示
demyelinating,a〉脱髄の
demyelination,脱髄、髄鞘脱落、髄鞘除去
demyelinization,脱髄、髄鞘脱落、髄鞘除去
denaturant,変性剤
denaturation,変性
denatured,a〉変性の
dendriform,a〉樹枝状の
dendritic,a〉樹枝状の、樹状の
dendrogram,系統樹
denervation,除神経
dengue,デング
densitometry,密度計測(法)、光学密度計測(法)、濃度計測(法)
density,1_密度 2_《理化》密度、濃度
dental,a〉1_歯の、歯牙の 2_歯科の
dentalgia,《歯》歯痛
dentate,a〉歯状の、鋸歯状の
denticulate,a〉歯状の
dentifrice,《歯》歯磨き剤
dentigerous,a〉含歯性の
dentin,《歯》象牙質
dentine,《歯》象牙質
dentinal,a〉象牙質の
dentinogenesis,《歯》象牙質形成、象牙質発生
dentinoma,《歯》象牙質腫
dentiparous,a〉歯牙形成の
dentist,《歯》歯科医師、歯医者
dentistry,《歯》歯科学、歯学
dentition,《歯》歯列
dentoalveolar,a〉歯牙歯槽の
dentofacial,a〉歯牙顔面の
dentoforensic,a〉法歯学の、法歯学的な
dentogingival,a〉歯牙歯肉の
dentulous,a〉有歯の
denture,《歯》義歯
deodorant,脱臭剤
deodorization,脱臭
deoxidation,脱酸素
deoxyribonucleoprotein,デオキシリボ核蛋白
department,教室、講座<大学の>
dependence,依存(症)
dependent,a〉依存(性)の
depilation,脱毛
depolarization,脱分極
depolarizer,消極剤
deposit,沈着物
deposition,沈着
depressant,a〉抑制の n〉抑制薬
depression,1_低下、沈下、減圧 2_陥凹 3_抑制 4_鬱病、うつ病
depressor,1_減圧物 2_降圧薬 3_減圧神経、抑制神経 4_《解》下制筋
depressurization,減圧(原子炉の)
deprivation,奪取
depth,深さ、深度
derangement,1_撹乱、混乱、障害 2_錯乱
derivative,派生体
dermal,a〉1_皮膚の、真皮の 2_表皮(性)の
dermatalgia,皮膚疼痛、皮膚痛
dermatic,a〉皮膚の･に関する
dermatitis,皮膚炎
dermatocyst,皮膚嚢腫
dermatocellulitis,皮膚蜂巣炎
dermatodynia,皮膚痛
dermatofibroma,皮膚線維腫
dermatofibrosarcoma,皮膚線維肉腫
dermatofibrosis,皮膚線維症
dermatoglyphic,a〉皮膚紋理の、掌紋の
dermatoglyphics,皮膚紋理学、掌紋学
dermatoid,a〉皮様の
dermatological,a〉皮膚学の、皮膚科学の
dermatologist,皮膚科学者
dermatology,皮膚科学
dermatome,皮膚採取器、採皮刀、デルマトーム
dermatomyositis,皮膚筋炎
dermatopathology,皮膚病理学
dermatophytosis,皮膚糸状菌症
dermatotropic,a〉皮膚向性の
dermis,真皮
dermoid,a〉類皮の、皮様の
dermopathy,皮膚病
dermotropic,a〉皮膚向性の
desaturated,a〉脱飽和の
desaturation,脱飽和
descending,a〉下行の
descensus,下降、下垂症、脱出
desert,1_砂漠 2_《生物》荒原
desmodynia,靭帯痛
desmoid,a〉線維様の、靭帯様の n〉類腱腫、デスモイド
desmologic(al),a〉靭帯学の、靭帯学的な
desmology,靭帯学
desmopathy,靭帯病、靭帯病
desmoplastic,a〉線維形成性の
desmorrhexis,靭帯断裂
desmosomal,a〉接着斑の、デスモソームの
desorption,脱着
desquamative,a〉剥離(性)の、落屑(性)の
destruction,破壊
destructive,a〉破壊(性)の、破壊的な
desynchronization,脱周期
detailed,a〉詳細な
detectable,a〉検出可能の、検出できる
detection,検出
detector,検出器
detergent,a〉洗浄(性)の n〉洗剤
determinant,抗原決定基
determination,測定、計測
determinism,決定論
detoxication,解毒、無毒化
detoxification,解毒、無毒化
detrusor,《解》排尿筋
deuterium,重水素
deuteron,重陽子
deuterocoel,真体腔
development,1_発育、発達 2_現像 3_開発<土地の>
developmental,a〉発育(性)の
deviation,偏位
device,装置、道具、器具
deviometer,斜視偏位測定計
devitalization,失活、除活
devitalizator,《歯》除活剤
devitalizing,a〉《歯》除活の
dextrocardia,右心症
dextrocardiogram,右心電図、右心造影図
dextrogastria,右胃症
dextrogyrate,a〉右旋(性)の
dextrogyric,a〉右旋(性)の
dextrorotation,右旋
dextrorotatory,a〉右旋(性)の
dextroversion,右方偏位
diabetes,糖尿病
diabetic,a〉糖尿病の
diaclasis,骨破壊、骨吸収
diacrisis,1_診断、鑑別診断 2_分泌性疾患
diactinic,a〉化学線透過能の
diad,a〉２価の n〉２価の元素または基
diadochokinesia,反復拮抗運動、変換運動
diadochokinesis,反復拮抗運動、変換運動
diadochokinetic,a〉反復拮抗運動の、変換運動の
diagnosis,診断
diagnostic,a〉診断の、診断学の
diagnostician,診断医
diagnostics,診断学、診断法
dialysate,透析液
dialysis,透析
dialytic,a〉透析の
diamine,ジアミン
diapedesis,1_漏出、滲出 2_血管外遊出
diaphanoscopy,徹照法、透視法
diaphoresis,発汗、発汗療法
diaphragm,《解》横隔膜
diaphyseal,a〉骨幹(部)の
diaphysial,a〉骨幹(部)の
diaphysitis,骨幹炎
diarrhea,下痢
diarrhoea,下痢
diarrheal,a〉下痢の
diarthrosis,《解》可動関節
diaschisis,機能解離、遠隔機能障害
diastema,《歯》歯間隙、(中切歯の)正中離開
diastematocrania,頭蓋正中離開
diastole,拡張期
diastolic,a〉拡張期の
diastrophic,a〉変形性の
diataxia,両側運動失調(症)
diathesis,素因、素質、体質
dichotomous,a〉1_二叉の、二分する、二分法による 2_<[植]>二股に分かれる
dichroism,光二色性、二色性、複色性
dichroitic,a〉二色性の
dicliditis,心弁炎
diclidotomy,直腸弁切除(術)
didymalgia,精巣痛、睾丸痛
dielectric,a〉誘電(性)の
diencephalon,間脳
diencephalic,間脳
diencephalosis,間脳症
dietetics,栄養学
dietician,栄養士
dietitian,栄養士
differential,a〉1_鑑別の 2_分画の 3_<[数]>微分の
differentiation,分化
diffraction,回折
diffractometer,回折計
diffuse,a〉瀰漫性の
diffusion,拡散
digastricus,《解》顎ニ腹筋
digestable,a〉消化できる、消化可能の
digestion,1_消化、消化作用 2_熟成
digestive,a〉消化の n〉消化薬
digluconate,二グルコン酸塩
